,电影名称,电影类型,导演,主演,评分,口碑,评论人数,简介,图片
15,速度与激情7 Furious 7,动作/犯罪,温子仁,范·迪塞尔/保罗·沃克/杰森·斯坦森/米歇尔·罗德里格兹/乔丹娜·布鲁斯特/泰瑞斯·吉布森/卢达克里斯/道恩·强森/卢卡斯·布莱克/库尔特·拉塞尔/娜塔莉·伊曼纽尔/埃尔莎·帕塔奇/盖尔·加朵/约翰·布罗特顿/卢克·伊万斯/托尼·贾/杰曼·翰苏/诺尔·古格雷米/阿里·法扎勒/姜成镐/龙达·鲁西/伊吉·阿德利亚/乔恩·李·布罗迪,8.4,39.4 /42.2 /16.1 /1.8 /0.6 ,419035,"
                                　　经历了紧张刺激的伦敦大战，多米尼克·托雷托（范·迪塞尔 Vin Diesel 饰）和他的伙伴们重新回归平静的生活，但是江湖的恩恩怨怨却决不允许他们轻易抽身而去。棘手的死对头欧文·肖瘫在医院，不得动弹，他的哥哥戴克·肖（杰森·斯坦森 Jason Stantham 饰）则发誓要为弟弟复仇。戴克曾是英国特种部队的王牌杀手，不仅身怀绝技，而且心狠手辣。他干掉了远在东京的韩，还几乎把探长卢克·霍布斯（道恩·强森 Dwayne Johnson 饰）送到另一个世界，甚至多米尼克那世外桃源般的家也被对方炸毁。
                                    
                                　　复仇的利刃已经架在脖子上，多米尼克再也没有选择，他找到长久以来最为信赖的团队，与来势汹汹的戴克展开生死对决……
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2233706697.jpg
16,复仇者联盟3：无限战争 Avengers: Infinity War,动作/科幻/奇幻/冒险,安东尼·罗素,小罗伯特·唐尼/克里斯·海姆斯沃斯/克里斯·埃文斯/马克·鲁弗洛/乔什·布洛林/佐伊·索尔达娜/本尼迪克特·康伯巴奇/克里斯·帕拉特/汤姆·赫兰德/伊丽莎白·奥尔森/保罗·贝坦尼/斯嘉丽·约翰逊/查德维克·博斯曼/塞巴斯蒂安·斯坦/唐·钱德尔/汤姆·希德勒斯顿/安东尼·麦凯/本尼迪克特·王/戴夫·巴蒂斯塔/布莱德利·库珀/范·迪塞尔/凯伦·吉兰/利蒂希娅·赖特/庞·克莱门捷夫/凯莉·库恩/汤姆-沃恩-劳勒/海登·瓦尔希/迈克尔·詹姆斯·肖/泰瑞·诺塔里/本尼西奥·德尔·托罗/彼特·丁拉基/罗斯·马昆德/丹娜·奎里拉/温斯顿·杜克/弗洛伦丝·卡松巴/塞缪尔·杰克逊/雅各布·巴特朗/斯坦·李,8.1,33.3 /44.0 /19.7 /2.3 /0.8 ,701423,"
                                　　最先与灭霸军团遭遇的雷神索尔一行遭遇惨烈打击，洛基遇害，空间宝石落入灭霸之手。未几，灭霸的先锋部队杀至地球，一番缠斗后掳走奇异博士。为阻止时间宝石落入敌手，斯塔克和蜘蛛侠闯入了敌人的飞船。与此同时，拥有心灵宝石的幻视也遭到外星侵略者的袭击，为此美国队长、黑寡妇等人将其带到瓦坎达王国，向黑豹求助。幸免于难的索尔与星爵一行相逢，随后他们兵分两路。索尔与火箭、格鲁特踏上再铸雷神之锤的旅程，星爵则与卡魔拉等人试图阻止灭霸的恶行。而知晓灵魂宝石下落的卡魔拉，同样是其义父灭霸追踪的对象。
                                    
                                　　攸关整个宇宙命运的史诗战役全面展开，超级英雄们为了平凡而自由的生命奋不顾身……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg
17,捉妖记2,喜剧/动作/奇幻/古装,许诚毅,梁朝伟/白百何/井柏然/李宇春/杨祐宁/大鹏/吴君如/曾志伟/黄磊/柳岩/吴莫愁/伍嘉成/赵磊/谷嘉诚/彭楚粤/陈泽希/郭子凡/肖战/焉栩嘉/夏之光/姜超/娄艺潇/张俪,5.0,2.3 /7.9 /39.2 /36.8 /13.7 ,319090,"
                                　　上一集与胡巴分别后，天荫（井柏然 饰）带着小岚（白百何 饰）踏上寻父之路，在义薄云天的天师堂堂主云大哥（杨祐宁 饰）的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷（梁朝伟 饰）和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时 ，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇掀起腥风血雨。千钧一发之际，念子心切的天荫和小岚通过天师堂找到胡巴并一起逃离险境。岂料，一场更大的惊天阴谋尾随而至，伺机而动……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2509643816.jpg
18,羞羞的铁拳,喜剧/奇幻,宋阳,艾伦/马丽/沈腾/田雨/宋阳/薛皓文/常远/黄才伦/王智,6.8,10.9 /34.3 /42.9 /9.6 /2.2 ,612361,"
                                　　堕落沉沦的MMA选手艾迪生（艾伦 饰）依靠打假拳度日，早已忘记昔日的雄心壮志。某次他和假拳掮客马东（田雨 饰）商议打假赛的时候，不慎被正义感爆棚的体育记者马小（马丽 饰）听到并录音。在追赶马丽的过程中，艾迪生和对方一同跌入游泳池，并遭到雷电的电击。当他们从医院醒来后，发现两人居然互换了身体。在所有复原的办法都失败后，艾迪生只能请求马小代替他去和拳王吴良（薛皓文 饰）——同时也是马小的未婚夫——去打比赛。然而，娘娘的艾迪生和汉子力爆表的马小却闹出了一连串的笑话。
                                    
                                　　而在这一过程中，两人渐次发现了当年艾迪生遭遇惨败和黑幕的真相……
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2499793218.jpg
19,疯狂的外星人,喜剧/科幻,宁浩,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路,6.4,8.1 /27.2 /45.1 /15.6 /4.1 ,611222,"
                                　　号称银河系最先进的外星文明试图和地球建交，谁知一连串的误会导致意外发生。外星使者的飞船坠入大气层，最终摔在了中国某市的世界公园中。靠耍猴戏为生的耿浩（黄渤 饰）和酒贩子好友大飞（沈腾 饰）把受伤的外星人错认为来自南美洲的猴子，在自家猴子受伤的情况下，耿浩开始训练起这个他口中的“刚果骚骚猴”来了。由于失去了超能力加成设备，外星人的本事无法施展，只能任由这两个傻乎乎的地球人打骂操练。尽管如此，他仍试图夺回自己的装备。另一方面，之前与外星人交流失败的超级大国根据外星人留下的信息，穿梭世界各地寻找外星使者。地球的命运朝着不可预测的方向发展……
                                    
                                　　本片创意来自刘慈欣的科幻小说《乡村教师》。
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg
20,海王 Aquaman,动作/奇幻/冒险,温子仁,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉·萨福兰/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫,7.6,21.0 /43.1 /30.6 /4.5 /0.8 ,785735,"
                                　　许多年前，亚特兰蒂斯女王（妮可·基德曼 Nicole Kidman 饰）和人类相知相恋，共同孕育了爱情的结晶——后来被陆地人称为海王的亚瑟·库瑞（杰森·莫玛 Jason Momoa 饰）。在成长的过程中，亚瑟接受海底导师维科（威廉·达福 Willem Dafoe 饰）的严苛训练，时刻渴望去看望母亲，然而作为混血的私生子这却是奢望。与此同时，亚瑟的同母异父兄弟奥姆（帕特里克·威尔森 Patrick Wilson 饰）成为亚特兰蒂斯的国王，他不满陆地人类对大海的荼毒与污染，遂谋划联合其他海底王国发动对陆地的全面战争。为了阻止他的野心，维科和奥姆的未婚妻湄拉（艾梅柏·希尔德 Amber Heard 饰）将亚瑟带到海底世界。
                                    
                                　　宿命推动着亚瑟，去寻找失落已久的三叉戟，建立一个更加开明的海底王国……
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg
21,变形金刚4：绝迹重生 Transformers: Age of Extinction,动作/科幻,迈克尔·贝,马克·沃尔伯格/斯坦利·图齐/凯尔希·格兰莫/妮可拉·佩尔茨/杰克·莱诺/提图斯·维里沃/索菲娅·迈尔斯/李冰冰/T·J·米勒/彼特·库伦/约翰·迪·马吉欧/罗伯特·福克沃斯/约翰·古德曼/马克·瑞安/渡边谦/弗兰克·维尔克/雷诺·维尔森/阿比盖尔·克莱恩/托马斯·列农/韩庚/巫刚/吕良伟/王敏德/纪培慧/邹市明,6.6,11.6 /28.3 /44.4 /12.3 /3.4 ,290604,"
                                　　当年那场惨烈的芝加哥大战，汽车人虽然成功击退了霸天虎的入侵，却也让地球人对他们失去了应有的信任与尊重。由美国中情局组建的“墓风”部队对所有的变形金刚进行无差别的猎杀，一时间汽车人和霸天虎全都在地球不见了踪影。某天，居住在得州的落魄机械发明家凯德·伊格（马克·沃尔伯格 Marky Mark 饰）买回来一辆破旧的卡车车头，谁知那竟是处在休眠中的汽车人首领擎天柱。嗅到气息的墓风部队蜂拥而至，苏醒后的擎天柱救走了凯德一家，也和散落在各个角落的汽车人相继取得联系。另一方面，疯狂的人类科学家从变形金刚的残骸中获知了他们变形的秘密，并企图借此制造出人造金刚，而脱胎自威震天的惊破天正是他们的得意作品以及催命死神。
                                    
                                　　新一轮的危机卷土而来，地球面临更大的灾难……
                        ",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2187231762.jpg
22,前任3：再见前任,喜剧/爱情,田羽生,韩庚/郑恺/于文文/曾梦雪/罗米,5.5,5.3 /16.1 /40.4 /25.3 /12.9 ,350751,"
                                　　一对好基友孟云（韩庚 饰）和余飞（郑恺 饰）跟女友都因为一点小事宣告分手，并且“拒绝挽回，死不认错”。两人在夜店、派对与交友软件上放飞人生第二春，大肆庆祝“黄金单身期”，从而引发了一系列好笑的故事。孟云与女友同甘共苦却难逃“五年之痒”，余飞与女友则棋逢敌手相爱相杀无绝期。然而现实的“打脸”却来得猝不及防：一对推拉纠结零往来，一对纠缠互怼全交代。两对恋人都将面对最终的选择：是再次相见？还是再也不见？
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508926717.jpg
23,毒液：致命守护者 Venom,动作/科幻/惊悚,鲁本·弗雷斯彻,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德/斯科特·黑兹/里德·斯科特/珍妮·斯蕾特/梅洛拉·沃尔特斯/伍迪·哈里森/佩吉·陆/马尔科姆·C·默里/索佩·阿卢科/韦恩·佩雷/米歇尔·李/库尔特·岳/克里斯·奥哈拉/埃米里奥·瑞弗拉/阿里亚当娜·约瑟夫/袁之正/朴云龙/麦克·勃兰特/尼克·图恩/山姆·麦地那/迪塞尔·马德金斯/简·麦克尼尔/维克托·麦凯/马丁·巴特斯·布拉德福德/布兰顿·莫拉莱斯/马修·康威尔/斯坦·李/韦德·威廉姆斯/约瑟夫·阿梅/威廉·W·巴伯/玛塞拉·布拉吉奥/卡特·伯奇/克里斯蒂安·康佛瑞/詹姆斯·富尔特斯/丹妮拉·加斯基/约翰·盖蒂尔/艾米丽塔·T·冈萨雷斯/杰克·汉森/安东尼·B·哈里斯/卡茜·亨德利/罗恩·彼得·琼斯/霍梅洛·洛佩兹/万恩·姆约维奇,7.2,12.2 /42.9 /39.5 /4.8 /0.6 ,718142,"
                                　　艾迪（汤姆·哈迪 Tom Hardy 饰）是一位深受观众喜爱的新闻记者，和女友安妮（米歇尔·威廉姆斯 Michelle Williams 饰）相恋多年，彼此之间感情十分要好。安妮是一名律师，接手了生命基金会的案件，在女友的邮箱里，艾迪发现了基金会老板德雷克（里兹·阿迈德 Riz Ahmed 饰）不为人知的秘密。为此，艾迪不仅丢了工作，女友也离他而去。
                                    
                                　　之后，生命基金会的朵拉博士（珍妮·斯蕾特 Jenny Slate 饰）找到了艾迪，希望艾迪能够帮助她阻止德雷克疯狂的罪行。在生命基金会的实验室里，艾迪发现了德雷克进行人体实验的证据，并且在误打误撞之中被外星生命体毒液附身。回到家后，艾迪和毒液之间形成了共生关系，他们要应对的是德雷克派出的一波又一波杀手。
                        ",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg
24,功夫瑜伽,喜剧/动作/冒险,唐季礼,成龙/李治廷/张艺兴/索努·苏德/母其弥雅/迪莎·帕塔尼/艾米拉·达斯特/尚语贤/姜雯/张国立,4.9,3.2 /9.7 /35.9 /33.6 /17.5 ,163366,"
                                　　考古学教授Jack（成龙 饰）多年没有踏出学校，校长和学生都对他添油加醋的历史半信半疑。一次授课后，一个印度女孩找到Jack，用一张千年地图吸引了Jack的目光。于是Jack和挚友的儿子李琼斯（李治廷 饰）、助教小光（张艺兴 饰）组成“寻宝小分队”，为“神秘宝石”展开冒险，在迪拜和土豪飙车，在冰岛潜入神秘冰穴，在印度大战土狼，和印度贵族斗舞，动作喜剧再升级，打笑全世界。
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2412371389.jpg
25,飞驰人生,喜剧,韩寒,沈腾/黄景瑜/尹正/张本煜/尹昉/田雨/魏翔/赵文瑄/腾格尔/易小星/李庆誉/高华阳/刘帅良/李玲玉/何穗/潘晓婷/田原/李春嫒/冯绍峰,6.9,11.1 /35.9 /41.5 /9.6 /1.9 ,795318,"
                                　　曾经叱咤风云的拉力赛车手张驰（沈腾 饰），五年前因私自赛车而被禁赛。从天堂跌落谷底，张驰饱尝生活的艰辛。他忍辱负重，洗心革面，终于争取到了解禁的判决。在此之后，他重新找到亲如兄弟的领航员孙宇强（尹正 饰），决心共同冲击本年度的巴音布鲁克拉力赛。然而在此之前，张驰必须重考驾照，改装赛车，拉到赞助。每一步都充满艰难，他忍受着旁人的奚落嘲讽，忍受着现实的冰冷残酷，无论如何都不改变前进的目标。当他好不容易走到了赛场，还将面对禁赛这几年崛起的新秀林臻东（黄景瑜 饰）的挑战。
                                    
                                　　张驰的时代是否就此远去……
                        ",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg
26,烈火英雄,剧情/灾难,陈国辉,黄晓明/杜江/谭卓/杨紫/欧豪/侯勇/张哲瀚/谷嘉诚/印小天/高戈/许文广/刘金山/丁嘉丽,6.5,10.3 /26.0 /45.2 /14.3 /4.3 ,280936,"
                                　　滨海市海港码头发生管道爆炸，整个罐区的原油都顺着A01油罐往外流，化成火海和阵阵爆炸，威胁全市、全省，甚至邻国的安全。慌乱的市民们四处奔逃，一辆辆消防车却逆向冲进火海……
                        ",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563630521.jpg
27,侏罗纪世界2 Jurassic World: Fallen Kingdom,动作/科幻/冒险,J·A·巴亚纳,克里斯·帕拉特/布莱丝·达拉斯·霍华德/贾斯蒂斯·史密斯/伊莎贝拉·瑟蒙/拉菲·斯波/托比·琼斯/泰德·拉文/詹姆斯·克伦威尔/黄荣亮/丹妮艾拉·皮内达/杰拉丁·卓别林/杰夫·高布伦/卡米尔·雷米泽斯基/丹尼尔·斯蒂森/皮特·杰森/迈克尔·帕帕约翰/罗伯特·埃姆斯/罗南·萨莫尔斯/麦克斯·贝克/丹尼尔·厄根/戴维·奥拉瓦莱·阿印德,6.7,7.2 /31.6 /51.3 /8.7 /1.2 ,330219,"
                                　　自侏罗纪世界的骚乱以来，种类繁多的恐龙在努布拉岛度过了三年无拘无束的时光。然而该岛火山活动频繁，随时有喷发的危险。致力于恐龙保护的克莱尔·戴宁（布莱丝·达拉斯·霍华德 Bryce Dallas Howard 饰）受到班杰明•洛克伍德的邀请。班杰明及其下属伊莱·米尔斯（拉菲·斯波 Rafe Spall 饰）希望她和相关技术人员前往努布拉岛拯救那里的恐龙，并将它们安置在新的栖息地。受到感染的克莱尔设法找来欧文（克里斯·帕拉特 Chris Pratt 饰）一同前往，欧文则希望救出他亲手驯养的迅猛龙小蓝。当他们踏足这座隔绝之岛时，却发现事情没那么简单。
                                    
                                　　火山蠢蠢欲动，随时爆发，而混乱之中丑恶的阴谋悄然酝酿……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522069454.jpg
28,寻龙诀,剧情/动作/奇幻/冒险,乌尔善,陈坤/黄渤/舒淇/杨颖/夏雨/刘晓庆/颜卓灵/曹操/张东/黄西/僧格仁钦,7.4,17.4 /44.2 /32.1 /4.9 /1.3 ,534293,"
                                　　上世纪80年代末，胡八一（陈坤 饰）、王凯旋（黄渤 饰）与Shirley杨（舒淇 饰）在美国打算金盆洗手，本来叱咤风云的摸金校尉沦为街头小贩被移民局追得满街跑。就在此时，意外发现20年前死在草原上的初恋对象丁思甜（杨颖 饰）可能还活着，胡八一、王凯旋、Shirley杨决定再入草原千年古墓……
                        ",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2284620292.jpg
29,西游伏妖篇,喜剧/动作/奇幻/古装,徐克,吴亦凡/林更新/姚晨/林允/包贝尔/巴特尔/杨一威/大鹏/王丽坤/汪铎/张美娥,5.5,6.8 /16.4 /36.9 /25.9 /14.1 ,323983,"
                                　　历经千辛万苦，唐僧（吴亦凡 饰）、孙悟空（林更新 饰）、猪八戒（杨一威 饰）、沙僧（巴特尔 饰）这支取经团队朝着最终的目标持续前进，然而这一过程中他们不仅忍饥挨饿，还矛盾频生，似乎随时都有分裂的危险。尤其法师念念不忘死去的段小姐（舒淇 饰），而这件事也成为他和悟空之间矛盾和争吵的根源。在摆脱了蜘蛛精的纠缠后，师徒四人来至充满童趣的比丘国。比丘国王（包贝尔 饰）精神错乱，如同孩子般喜怒无常。国师九宫真人（姚晨 饰）将师徒迎进王宫，虽百般叮咛，却仍引出不少的乱子，甚至还揪出了藏在宫中的狡猾妖怪。
                                    
                                　　冒险仍在继续，师徒间的危机一触即发……
                        ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2411953504.jpg
30,港囧,喜剧,徐峥,徐峥/赵薇/包贝尔/杜鹃/葛民辉/李灿森/潘虹/赵有亮/朱媛媛/王迅/冯勉恒/王晶/叶竞生/林晓峰/车保罗/苑琼丹/林雪/江约诚/郑丹瑞/田启文/吴耀汉/林路迪/詹瑞文/庄思敏/陶虹,5.7,5.3 /15.3 /45.5 /25.4 /8.5 ,353828,"
                                　　徐来（徐峥 饰）大学时代的理想是能够成为一名出色的油画家，他的坚持和不屈吸引了美丽女孩杨伊（杜鹃 饰）的注意，随着时间的推移，他们相爱了。然而，徐来的这段初恋却最终被残酷的现实所粉碎，之后，他同一直守候在自己身边的内衣公司老板千金蔡波（赵薇 饰）走到了一起。
                                    
                                　　毕业后，徐来和蔡波结婚，成了蔡家的“上门女婿”，他放弃了理想，开始经营内衣公司，尽管事业蒸蒸日上，但徐来的心中始终留存着一抹遗憾。某日，徐来意外得知如今已经成为画家的杨伊将在香港举行她的个展，心中五味杂陈的他带着一家老小前往香港，名为旅游，实则是相同杨伊“再续前缘”。然而，徐来的计划却屡屡遭到小舅子蔡拉拉（包贝尔 饰）的破坏，蔡拉拉正在拍摄一部家庭纪录片，在他的镜头背后，徐来发现了一个陌生的自己。
                        ",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2266145079.jpg
